brand,total_tweets,inbound,outbound,pairs,conversation_count,diversity,coverage_raw,score,score_recomputed,volume_penalty,rank
hulu_support,47496,18615,21872,21468,15082.0,0.9857,1.1533,0.9978,0.997855,0.0,1
sprintcare,48368,13746,22381,20026,14754.0,0.9764,1.4569,0.9965,0.99646,0.0,2
SpotifyCares,90131,31353,43265,41585,29283.0,0.9759,1.3263,0.9964,0.996385,0.0,3
Uber_Support,125689,46624,56270,55182,42601.0,0.9656,1.1836,0.9948,0.99484,0.0,4
TMobileHelp,75018,21964,34317,33837,25857.0,0.9619,1.5406,0.9943,0.994285,0.0,5
comcastcares,69612,23278,33031,30369,24788.0,0.9613,1.3046,0.9942,0.994195,0.0,6
AskPlayStation,42666,22263,19098,18650,12624.0,0.9651,0.8377,0.9704,0.97042,0.0,7
SouthwestAir,64667,35106,28977,28285,22159.0,0.9883,0.8057,0.9691,0.9691,0.0,8
Delta,87882,44836,42253,36134,,0.9832,0.8059,0.9684,0.968365,0.0,9
British_Airways,60457,30856,29361,24084,,0.9926,0.7805,0.966,0.965965,0.0,10
Tesco,73514,33964,38573,25282,,0.9857,0.7444,0.9595,0.959515,0.0,11
AmericanAir,86830,49516,36764,36457,,0.9905,0.7363,0.959,0.95902,0.0,12
XboxSupport,54461,28124,24557,20213,,0.9797,0.7187,0.9548,0.95476,0.0,13
AmazonHelp,367667,135160,169840,154976,,0.9735,1.1466,0.916,0.916025,0.08,14
AppleSupport,233216,97896,106860,106623,,0.9703,1.0891,0.9155,0.915545,0.08,15
